;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
198;27;BW 10;12,961569858526822;6365,0678536585365;41;0,2629947461943713;6384,475;6304,502;17,11103414840988;2,6722945727615715
199;28;BW 10;13,518787229418008;6363,9364545454555;22;0,2317551991489253;6382,143;6338,936;16,24033149945302;3,462450309535969
200;29;BW 10;14,032896667399323;6353,392678571428;28;0,20686192708766377;6387,603;6329,927;17,000236225054998;3,212742662917643
201;30;BW 10;14,464391480255648;6349,588;11;0,1887825698307942;6377,546;6337,689;10,901442455014802;3,2869085724486293
202;31;BW 10;14,994067275159216;6362,817687499999;16;0,16982747950549815;6381,294;6342,652;13,98006445726071;3,4950161143151774
203;32;BW 10;15,496325187073252;6351,283357142857;14;0,15356497536207425;6378,946;6341,849;12,070100003454751;3,2258699169304745
204;33;BW 10;16,02547995109427;6353,767545454545;11;0,1389040908071715;6383,737;6344,698;13,843289828386968;4,173908929536633
205;34;BW 10;16,537832801590106;6358,032615384616;13;0,12647474443437975;6381,338;6343,252;14,74528376317004;4,089605898413553
206;35;BW 10;16,963796199106945;6352,134399999999;10;0,11707586881616917;6379,407;6342,695;12,347085253883339;3,9044911866549703
207;36;BW 10;17,599487697291245;6356,6925;4;0,1049175099069215;6376,315;6340,385;15,042121271061697;7,521060635530849
208;37;BW 10;17,966886853464917;6348,786;3;0,09848929747637647;6360,951;6341,678;10,584992631079295;6,111248344923837
209;38;BW 10;18,532336374276714;6344,9039999999995;6;0,08969151961492541;6347,034;6341,916;1,9552330807347036;0,7982205626683351
210;41;BW 10;20,111428183211448;6362,039333333334;3;0,0703694994948084;6380,383;6346,787;17,009998834018813;9,820727405735983
211;42;BW 10;20,52271061252854;6356,1179999999995;6;0,06616139247704923;6377,033;6344,44;15,375004169105235;6,276819167911979
212;44;BW 10;21,487350901721044;6341,918666666667;3;0,057516028358795254;6343,876;6339,864;2,0077702391794143;1,1591866880611543
213;7;BW 11;3,1605083010438753;-6,2588;5;-0,017837628617344944;22,424;-34,617;22,58112197611093;10,098584749359683
214;8;BW 11;3,5870544925392767;42,06119999999999;65;0,08199447429221468;144,71;-31,244;36,01913872955251;4,467624312451925
215;9;BW 11;4,031191216398861;135,88351020408157;98;0,18663083956740367;247,425;23,92;51,058614024955475;5,157698887861796
216;10;BW 11;4,503623264263848;261,08072254335264;173;0,2571612297935417;407,762;111,003;58,0783890478006;4,415618152306745
217;11;BW 11;5,011498670078102;430,1896839080461;174;0,3075204369202111;659,679;268,602;75,97261537952151;5,759469108478776
218;12;BW 11;5,496557478197204;620,7356170212768;188;0,3363188378679228;843,99;416,831;88,69954696073546;6,4690793316473885
219;13;BW 11;6,011526783757761;857,6472210526318;190;0,3551985426603566;1234,745;637,058;105,16836278718579;7,629714946505684
220;14;BW 11;6,5103300884649995;1134,449054216868;166;0,36990723059425296;1437,854;835,269;128,17781744692664;9,948528039532247
221;15;BW 11;6,9928193146082664;1468,6193625;160;0,38642852663485816;2132,739;1048,413;161,72452075210083;12,785445976895147
222;16;BW 11;7,488177045181669;1862,4640214285719;140;0,39909513121468276;2266,655;1524,01;169,84282221862244;14,35433838331678
223;17;BW 11;8,01218960225666;2324,959975409835;122;0,40670421801439915;2821,465;1915,985;194,0660233020083;17,569912201152107
224;18;BW 11;8,504948058801372;2809,758457317073;164;0,41093283079242254;3509,692;2272,218;217,93660823885136;17,017989980952397
225;19;BW 11;9,005137204399494;3343,917571428572;154;0,41200397912471487;4117,699;2786,508;256,47453593912127;20,66730707474966
226;20;BW 11;9,484083928460535;3969,1723416666664;120;0,418630282176004;4708,567;3304,634;344,4764601530923;31,446254625896362
227;21;BW 11;9,989878045184708;4656,728874999998;88;0,42025921349547496;5683,976;3850,891;381,38782788413624;40,65607905710405
228;22;BW 11;10,455445130258672;5211,191640000001;100;0,4102289567736419;5994,067;4367,616;306,9302477312626;30,69302477312626
229;23;BW 11;10,98398116400616;5832,006209302325;86;0,3959638050420786;6371,973;4972,265;350,2456608307648;37,76796090985227
230;24;BW 11;11,504751931622904;6255,096349397592;83;0,3695890342423172;6381,369;5785,633;150,57208840905463;16,527433859322112
231;25;BW 11;11,95414153446558;6342,316253731343;67;0,3340485286395163;6382,977;5795,931;85,55376602488454;10,452056057849488
232;26;BW 11;12,514871466041917;6368,104357142858;70;0,2923128053016016;6383,092;6338,876;12,995195264868025;1,5532229164457108
233;27;BW 11;12,980263251903407;6366,364266666667;45;0,2619134688659726;6383,127;6320,62;15,594097053926037;2,324630737353855
234;28;BW 11;13,464194685476988;6358,155;19;0,23437258637671674;6382,692;6307,511;20,904561293863132;4,79583527047375
235;29;BW 11;14,013734345783046;6351,386315789473;19;0,20764608028264295;6380,994;6341,003;13,189613152665185;3,025904780887497
236;30;BW 11;14,653234133270496;6360,312357142857;14;0,18188413852404708;6381,357;6333,919;16,585015607733865;4,432531868459895
237;31;BW 11;14,991953750997041;6355,108619047618;21;0,1696934682893724;6383,535;6337,386;13,763386336494893;3,0034171288527998
238;32;BW 11;15,549570317490883;6350,379166666666;12;0,1519712125380335;6375,357;6343,54;10,75915502624577;3,1059005253279555
239;33;BW 11;15,953076878877516;6356,207947368421;19;0,14085801775227383;6382,833;6340,803;15,107686992880401;3,4659410985583974
240;34;BW 11;16,45704653321257;6350,461428571428;7;0,12819362865218623;6363,079;6344,671;6,297153241932225;2,38010020654526
241;35;BW 11;16,92981807074806;6358,887000000001;8;0,1179074056761857;6378,854;6341,72;15,825762098553072;5,595251848665962
242;36;BW 11;17,4777433937552;6350,497333333333;3;0,10702087842079663;6356,444;6346,239;5,307858168163335;3,0644933422094556
243;37;BW 11;18,117131831028964;6347,232714285713;7;0,09603575116742773;6359,878;6343,088;5,719434579113827;2,1617430766055086
244;38;BW 11;18,414102104775058;6345,770666666666;3;0,09144281387591037;6347,857;6342,942;2,5401969083778155;1,466583368846587
245;40;BW 11;19,52017141562509;6345,833333333333;3;0,07676347562161759;6347,066;6345,168;1,0686446244351249;0,6169822615856659
246;41;BW 11;20,052720726635584;6348,060333333334;3;0,07083338216650215;6357,058;6340,62;8,328921078587202;4,80870482678147
247;42;BW 11;20,58820881479116;6368,528;4;0,06565990031695317;6382,636;6345,685;15,94044589505976;7,97022294752988
248;43;BW 11;20,939741107311836;6366,360333333333;3;0,06238700569834981;6380,374;6345,928;18,097822806440863;10,44878286904478
249;44;BW 11;21,487350901721044;6341,918666666667;3;0,057516028358795254;6343,876;6339,864;2,0077702391794143;1,1591866880611543
250;8;BW 16;3,5802302808159725;58,73574285714285;35;0,11515596295051238;119,173;-12,686;36,55647884667268;6,179172727031687
251;9;BW 16;4,042717138302661;150,11059223300967;103;0,20441281609572176;292,889;42,785;52,38816520061566;5,161959300147437
252;10;BW 16;4,494529948587021;266,5465675675676;148;0,26414178486229456;425,001;97,098;66,94930369506397;5,503198864133666
