;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density
83;6,52;7,23;1280,659;7,38;0,01;1,2411674251349996
84;6,32;6,93;1099,884;7,77;0,01;1,2394764901221205
85;6,02;6,66;955,424;7,76;0,01;1,2395197986437945
86;5,78;6,62;915,871;7,74;0,01;1,2396064233921695
87;6,13;6,6;915,396;7,76;0,01;1,2395197986437945
88;6,95;7,93;1702,897;7,8;0,04;1,2393465799677645
89;6,97;7,62;1504,695;7,72;0,05;1,2396930584135704
90;6,13;6,86;1061,951;7,74;0,05;1,2396064233921695
91;6,07;6,72;976,255;7,69;0,05;1,2398230302066866
92;5,75;6,53;848,909;7,64;0,05;1,2400397012210835
93;5,76;6,49;785,344;7,72;0,09;1,2396930584135704
94;5,44;6,49;587,09;7,89;0,67;1,2389569882124578
95;5,91;6,66;949,471;8,19;0,01;1,2376598520886168
96;6,16;6,85;1060,203;8,23;0,0;1,2374870753646003
97;6,2;6,93;1104,415;8,28;0,0;1,2372711622969093
98;7,24;8,05;1839,649;8,11;0,0;1,2380055289115381
99;7,45;8,49;2113,234;7,84;0,0;1,239173402388732
100;6,61;7,03;1148,916;7,99;0,0;1,2385243525414222
101;6,11;6,63;885,45;7,9;0,07;1,2389137130840302
102;6,85;7,3;1307,481;7,84;0,01;1,239173402388732
103;6,18;6,77;942,688;7,98;0,15;1,2385676045466327
104;7,0;7,89;1697,058;7,78;0,01;1,2394331841688568
105;6,96;7,8;1616,646;7,79;0,01;1,2393898807840547
106;6,21;6,87;1033,121;7,9;0,07;1,2389137130840302
107;5,22;6,48;496,15;8,1;0,86;1,2380487500799628
108;4,66;6,48;321,211;8,1;1,39;1,2380487500799628
109;4,7;6,48;319,613;8,12;1,43;1,2379623103131365
110;5,05;6,48;524,519;8,07;0,79;1,2381784290049336
111;5,1;6,48;523,58;8,07;0,81;1,2381784290049336
112;5,46;6,48;608,786;8,2;0,51;1,2376166540519569
113;5,93;6,57;865,795;8,4;0,01;1,2367532331592421
114;6,45;7,01;1135,636;8,26;0,01;1,2373575198120537
