;Identifier;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed;Power Coefficient;Lower Limit Filter;Bin;Active Power Filter
2370;BW 09;5,12;6,64;547,393;2,8;0,83;1,261286035966564;5,170062508267462;0,35639262410965966;True;11,0;
2371;BW 06;4,83;6,47;401,173;3,36;1,1;1,258665960944603;4,873847433698243;0,3117688743344699;True;11,0;
2372;BW 08;4,78;6,48;380,862;3,13;1,09;1,2597410595349088;4,82476644779408;0,30510941373776307;True;11,0;
2373;BW 08;5,16;6,48;514,958;3,34;0,82;1,2587593925268465;5,206972053677613;0,3281957242691095;True;11,0;
2374;BW 06;5,16;6,48;513,307;5,41;0,86;1,2491438058813895;5,193679567945748;0,3296617665573047;True;11,0;
2375;BW 09;4,93;6,47;385,376;4,17;1,22;1,2548907370586702;4,9697765315095905;0,2824820990340031;True;11,0;
2376;BW 09;5,06;6,48;469,053;4,31;0,91;1,2542399447022767;5,099943482249566;0,3181578754596763;True;11,0;
2377;BW 05;5,1;6,48;500,384;7,68;0,89;1,238720263258536;5,118969718985623;0,3356391268802535;True;11,0;
2378;BW 08;4,79;6,48;413,604;3,18;0,99;1,259507223871364;4,834560930793995;0,32932937173402405;True;11,0;
2379;BW 05;4,89;2,94;215,836;4,85;28,74;1,2517344109933737;4,925317444492223;0,16253169083894048;False;11,0;
2380;BW 06;4,89;6,47;331,604;4,25;1,25;1,2545187943515135;4,9289667319149775;0,24915462291380577;True;11,0;
2381;BW 05;5,0;6,48;438,393;4,94;0,99;1,2513175367160774;5,0355527732826175;0,3089150059975409;True;11,0;
2382;BW 06;4,73;6,48;335,502;4,17;1,26;1,2548907370586702;4,7681628791156925;0,2784573694192804;True;11,0;
2383;BW 07;4,98;6,56;552,884;3,35;0,81;1,2587126754229945;5,025271323475772;0,3919875978210539;True;11,0;
2384;BW 06;5,03;6,48;467,024;4,32;0,91;1,2541934786955307;5,069644056362251;0,32249548896684527;True;11,0;
2385;BW 07;4,78;6,47;345,873;3,23;1,17;1,2592734541670607;4,824169402902209;0,277182534166002;True;11,0;
2386;BW 06;5,1;6,48;366,445;4,25;1,22;1,2545187943515135;5,140640149849976;0,24270238181403653;True;11,0;
2387;BW 06;5,08;3,71;289,661;4,1;22,27;1,2552163214397511;5,121429616566725;0,19401408036098622;False;11,0;
2388;BW 07;4,71;6,62;455,654;3,16;0,94;1,2596007502163689;4,753934362161698;0,3815860536033243;True;11,0;
2389;BW 05;4,97;6,48;504,376;7,65;0,85;1,2388572328937013;4,9886700351449695;0,3655248643273808;True;11,0;
2390;BW 09;4,9;6,47;321,109;4,06;1,24;1,2554024261327985;4,9402057671587345;0,23962615146889044;True;11,0;
2391;BW 07;4,82;6,51;447,17;3,1;1,08;1,2598813926328576;4,865321711970025;0,34934523305624765;True;11,0;
2392;BW 06;5,09;6,48;401,17;4,41;1,18;1,2537753993234493;5,129546851058294;0,2674288739653591;True;11,0;
2393;BW 05;5,08;6,48;524,14;7,58;0,8;1,2391769084926845;5,099521807872571;0,35561149750134;True;11,0;
2394;BW 05;5,02;6,48;457,515;7,64;1,08;1,2389028939943858;5,0389197681594835;0,32174355557384116;True;11,0;
2395;BW 07;4,83;6,48;370,742;3,07;1,13;1,2600217495306445;4,875596782015329;0,28780961130231003;True;11,0;
2396;BW 06;5,07;6,48;429,154;4,07;1,06;1,2553558961050701;5,111537508500874;0,28911815148377257;True;11,0;
2397;BW 07;5,14;6,47;487,465;2,69;0,92;1,2618016721967997;5,19096525860481;0,3135565819538562;True;11,0;
2398;BW 07;5,0;6,49;482,138;2,62;0,87;1,2621299728229645;5,050015001583214;0,33682956701078;True;11,0;
2399;BW 05;4,88;6,48;341,271;3,97;1,35;1,255821312167436;4,920588819222088;0,2577300205446336;True;11,0;
2400;BW 07;5,07;6,48;518,512;3,03;0,85;1,2602089291182754;5,118115872111108;0,34797281760752935;True;11,0;
2401;BW 05;4,94;6,48;460,455;7,7;1,0;1,2386289615489074;4,958252766108772;0,339874087390939;True;11,0;
2402;BW 06;5,03;6,48;428,142;4,32;1,04;1,2541934786955307;5,069644056362251;0,29564618443001445;True;11,0;
2403;BW 06;4,75;6,48;298,079;4,36;1,39;1,254007640167924;4,787200761003894;0,24445746712074473;True;11,0;
2404;BW 06;4,74;6,47;324,875;4,05;1,41;1,2554489587314634;4,778951969680318;0,26781515256158284;True;11,0;
2405;BW 06;4,91;6,48;371,423;4,26;1,07;1,254472313024081;4,949064980740291;0,2756869285574589;True;11,0;
2406;BW 06;4,96;3,87;352,508;4,54;20,36;1,2531718704949488;4,997734637697664;0,2540775240433887;False;11,0;
2407;BW 06;4,79;6,49;427,173;4,71;0,85;1,252383286263519;4,825428721765628;0,34206837918680794;True;11,0;
2408;BW 09;4,8;6,48;378,397;4,27;1,06;1,254425834252045;4,838130044753979;0,30062972622861367;True;11,0;
2409;BW 06;4,94;6,48;406,876;4,05;1,07;1,2554489587314634;4,980595512704805;0,29630235559074297;True;11,0;
2410;BW 06;4,88;6,48;337,894;4,17;1,25;1,2548907370586702;4,919373118411116;0,25536891946852136;True;11,0;
2411;BW 06;4,79;6,48;444,632;4,41;0,9;1,2537753993234493;4,827215995396705;0,35565373136831585;True;11,0;
2412;BW 06;4,95;6,48;402,236;4,14;1,15;1,2550302578320578;4,990122819673344;0,2912487582296083;True;11,0;
2413;BW 06;5,07;6,48;442,876;4,24;1,08;1,254565278235121;5,11046420819911;0,29855059612276225;True;11,0;
2414;BW 06;5,15;6,48;402,019;4,16;1,19;1,2549372414196973;5,191615678711593;0,258497187745714;True;11,0;
2415;BW 09;4,84;6,5;383,798;4,12;1,07;1,2551232845033387;4,87935175298026;0,2972577418091762;True;11,0;
2416;BW 06;5,02;6,54;491,219;4,22;1,04;1,254658253673977;5,060190149750216;0,3411076785071772;True;11,0;
2417;BW 09;4,86;6,48;345,069;4,17;1,29;1,2548907370586702;4,899211753171726;0,2640244595618297;True;11,0;
2418;BW 09;4,97;6,06;334,417;4,11;3,64;1,2551698016880155;5,010470619117913;0,23920466046456143;False;11,0;
2419;BW 09;4,97;6,48;401,819;4,19;1,06;1,2547977360230371;5,009975491337212;0,2875017643727932;True;11,0;
2420;BW 06;4,76;6,48;365,937;4,11;1,17;1,2551698016880155;4,7987605929580015;0,2979448765064057;True;11,0;
2421;BW 09;4,98;6,48;447,64;4,2;1,05;1,2547512393468763;5,019993917903289;0,3183729516983993;True;11,0;
2422;BW 09;4,93;6,48;345,557;4,13;0,96;1,2550767698849452;4,970022102927077;0,2532570735653432;True;11,0;
2423;BW 06;5,01;6,58;468,497;4,31;1,07;1,2542399447022767;5,049548783808365;0,3273904049462912;True;11,0;
2424;BW 07;5,04;6,59;528,118;2,38;0,96;1,263256573695353;5,091929271151595;0,3599156507287941;True;11,0;
2425;BW 05;5,04;6,47;397,846;3,86;1,16;1,2563335676133913;5,082610485921117;0,272628567312461;True;11,0;
2426;BW 06;4,81;6,48;406,618;4,08;1,18;1,255309368647503;4,849347467664284;0,3208141676221943;True;11,0;
2427;BW 05;5,06;6,48;470,986;4,47;0,95;1,253496794243142;5,098936026393851;0,31965842717385773;True;11,0;
2428;BW 05;4,82;6,48;422,76;8,08;1,13;1,2368959495081306;4,835552072727638;0,33641282626016034;True;11,0;
2429;BW 05;5,11;6,48;485,454;8,08;0,9;1,2368959495081306;5,126487778348181;0,3241941356097746;True;11,0;
2430;BW 06;4,92;6,48;352,163;3,83;1,2;1,2564733279152087;4,961779927274924;0,25938692522422957;True;11,0;
2431;BW 05;5,15;6,49;528,461;4,68;0,72;1,2525223951537539;5,188283505741353;0,34045419804620586;True;11,0;
2432;BW 05;4,97;6,48;509,838;8,2;0,87;1,2363493571675466;4,985301496291712;0,3702326935497503;True;11,0;
2433;BW 05;5,07;6,47;480,652;4,49;0,96;1,2534039462033182;5,108886828335842;0,3243162849103181;True;11,0;
2434;BW 05;4,96;6,48;393,476;7,94;1,25;1,2375340485782051;4,976859331511416;0,28718979266969985;True;11,0;
2435;BW 05;4,9;6,48;421,626;4,64;1,16;1,2527079089926454;4,936668786016252;0,31531328070035164;True;11,0;
2436;BW 05;5,17;6,57;555,995;4,3;0,88;1,2542864132605211;5,210876170122694;0,3535537738250457;True;11,0;
