;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed
115;7,54;8,34;2015,79;8,09;0,01;1,2368503878404937;7,564235466414801
116;8,06;9,16;2678,783;7,97;0,01;1,2373972759636462;8,087098462279624
117;7,46;8,05;1786,841;7,78;0,01;1,2382638456051691;7,48682810773925
118;5,66;6,56;642,944;7,81;0,57;1,2381269645587896;5,680145522781969
119;4,58;6,48;293,985;7,84;1,37;1,2379901038939365;4,596132138475748
120;5,47;6,58;672,181;7,82;0,61;1,2380813420737085;5,4894018335260215
121;5,61;6,53;809,54;7,55;0,11;1,239313946569544;5,63176611850631
122;5,16;6,48;544,554;7,66;0,72;1,238811574071404;5,17932014840199
123;6,22;6,96;1010,918;7,5;0,39;1,2395423891149293;6,244516480842857
124;6,67;7,41;1300,218;7,41;0,23;1,2399537301162984;6,697030818550022
125;3,69;6,48;92,65;7,72;1,5;1,2385376689356409;3,7035431573813264
126;2,54;6,48;-35,662;7,9;1,5;1,2377164436155428;2,5487588139951134
127;2,76;1,47;-19,297;7,99;39,73;1,2373061054759127;2,7692113597121355
128;2,96;0,79;-7,658;7,85;45,01;1,2379444881975181;2,9703895271019567
129;3,03;0,81;-7,633;7,9;45,01;1,2377164436155428;3,040448506458737
130;4,0;1,69;15,025;7,97;37,02;1,2373972759636462;4,013448368376984
131;5,73;6,89;806,296;7,52;0,7;1,239451005229048;5,7524437470804255
132;5,52;6,66;601,568;7,79;0,7;1,238218216323657;5,539783313651222
133;7,09;7,83;1665,598;7,92;0,02;1,2376252415866635;7,114274066720011
134;7,81;8,96;2483,904;7,94;0,02;1,2375340485782051;7,836546649012934
135;6,56;7,51;1430,523;7,99;0,02;1,2373061054759127;6,581893666562177
136;5,68;6,52;733,832;8,17;0,28;1,2364859750786346;5,6976972760653
137;6,68;7,25;1285,174;8,19;0,02;1,2363948942393268;6,700648460030905
138;7,52;8,55;2262,348;8,08;0,02;1,2368959495081306;7,544263814711998
139;8,03;9,27;2768,311;7,68;0,02;1,238720263258536;8,0598680085205
140;7,12;8,14;1850,559;7,71;0,02;1,238583314105659;7,146219841320426
141;6,16;6,73;970,284;7,87;0,03;1,2378532635872985;6,181469602534744
142;5,07;6,48;427,511;8,06;1,12;1,2369870795679203;5,086483627328874
143;4,4;6,48;274,5;8,14;1,41;1,2366226130900622;4,413871730657146
144;4,63;6,48;311,459;8,13;1,43;1,2366681635646852;4,6446538704084785
145;6,75;7,38;1281,833;7,52;0,26;1,239451005229048;6,776438969073799
146;3,27;5,14;39,278;7,64;12,0;1,2389028939943858;3,2823242314505006
147;2,72;0,56;-21,153;7,92;45,01;1,2376252415866635;2,7293124769363093
148;2,83;0,66;-19,323;8,07;45,01;1,2369415134169828;2,8391660577771534
149;3,28;0,76;-22,414;8,19;42,67;1,2363948942393268;3,290138764805594
150;5,02;6,36;366,542;8,19;1,54;1,2363948942393268;5,035517255891489
