Datum (Anlage);Zeit (Anlage);Wind Speed (avg);Rotor Speed [rpm] (avg);Active Power (avg);Nacelle Position (avg);Wind Direction (avg);Generator Speed [rpm] (avg);T Outside Nacelle Level (avg);Pitch Angle 1 (avg)
01.01.21;23:20:00;7,12;8,14;1850,559;315;314,85;940,31;7,71;0,02
01.01.21;23:30:00;6,16;6,73;970,284;315;315,72;777,89;7,87;0,03
01.01.21;23:40:00;5,07;6,48;427,511;315;310,92;748,11;8,06;1,12
01.01.21;23:50:00;4,40;6,48;274,500;315;305,38;748,22;8,14;1,41
02.01.21;00:00:00;4,63;6,48;311,459;317;329,57;748,13;8,13;1,43
02.01.21;00:10:00;6,75;7,38;1281,833;322;315,14;852,54;7,52;0,26
02.01.21;00:20:00;3,27;5,14;39,278;316;302,39;591,45;7,64;12,00
02.01.21;00:30:00;2,72;0,56;-21,153;284;270,83;64,10;7,92;45,01
02.01.21;00:40:00;2,83;0,66;-19,323;278;288,78;76,98;8,07;45,01
02.01.21;00:50:00;3,28;0,76;-22,414;288;345,38;89,54;8,19;42,67
02.01.21;01:00:00;5,02;6,36;366,542;320;332,99;736,25;8,19;1,54
02.01.21;01:10:00;4,91;6,48;410,840;320;322,42;748,30;8,20;1,13
02.01.21;01:20:00;4,71;6,48;350,165;320;325,60;748,38;8,17;1,41
02.01.21;01:30:00;4,69;6,48;338,365;320;324,59;748,07;8,17;1,37
02.01.21;01:40:00;4,62;6,48;323,453;319;304,22;748,40;8,21;1,36
02.01.21;01:50:00;4,46;6,48;271,831;311;328,36;748,06;8,18;1,50
02.01.21;02:00:00;4,41;6,48;315,538;320;320,83;748,31;8,19;1,41
02.01.21;02:10:00;4,02;6,48;179,074;320;323,47;748,15;8,19;1,51
02.01.21;02:20:00;4,18;6,48;216,681;320;319,54;748,15;8,20;1,51
02.01.21;02:30:00;4,57;6,48;358,597;320;320,03;748,31;8,17;1,11
02.01.21;02:40:00;4,30;6,48;223,083;320;311,91;747,97;8,17;1,49
02.01.21;02:50:00;3,79;6,48;50,716;327;346,47;748,27;8,27;1,51
02.01.21;03:00:00;4,05;6,48;115,485;337;336,27;748,20;8,18;1,51
02.01.21;03:10:00;3,62;6,48;63,075;334;346,34;748,13;8,15;1,51
02.01.21;03:20:00;3,17;6,48;16,075;334;338,08;748,14;8,14;1,51
02.01.21;03:30:00;2,55;1,92;-22,125;334;317,92;219,09;8,26;35,86
02.01.21;03:40:00;2,54;0,57;-7,726;334;341,83;67,78;8,19;45,01
02.01.21;03:50:00;5,11;2,44;66,896;358;59,92;284,89;7,93;31,52
02.01.21;04:00:00;4,27;6,47;199,936;34;50,63;747,91;7,74;1,36
02.01.21;04:10:00;2,69;2,68;-24,208;34;5,44;318,10;7,84;28,89
02.01.21;04:20:00;2,66;0,04;-9,914;32;355,49;44,31;7,83;45,01
02.01.21;04:30:00;2,93;0,49;-10,048;32;356,79;60,07;7,86;45,01
02.01.21;04:40:00;3,42;2,19;-2,796;9;1,11;255,17;7,82;30,37
02.01.21;04:50:00;3,98;6,48;160,438;8;0,72;748,66;7,83;1,46
02.01.21;05:00:00;5,10;6,48;500,384;8;12,76;749,01;7,68;0,89
02.01.21;05:10:00;5,24;6,47;467,631;9;19,99;748,05;7,66;0,97
02.01.21;05:20:00;5,04;6,48;452,419;12;24,09;748,24;7,67;1,03
02.01.21;05:30:00;4,91;6,48;458,352;26;25,56;748,45;7,70;1,05
02.01.21;05:40:00;4,67;6,48;346,395;26;15,51;748,13;7,74;1,36
02.01.21;05:50:00;5,69;6,53;694,483;24;29,84;754,15;7,64;0,39
02.01.21;06:00:00;5,45;6,48;622,515;24;29,64;748,19;7,50;0,47
02.01.21;06:10:00;5,09;6,48;514,854;27;36,48;748,28;7,50;0,82
02.01.21;06:20:00;4,98;6,48;474,613;32;32,42;748,37;7,50;0,91
